Item,Table Title,Quantity,Rarity,Rarity Probability,Rarity Tier,Price,Price Tiered,Prices Share in Table
Blue Dragonhide,Guaranteed,1.0,1,1.0,Common,1462.0,Better Drop,0.4334420397272457
Dragon Bones,Guaranteed,1.0,1,1.0,Common,1911.0,Better Drop,0.5665579602727542
Steel Platelegs,Weapons And Armour,1.0,4/128,0.03125,Uncommon,388.0,Mid Drop,0.0475781729000613
Mithril Axe,Weapons And Armour,1.0,3/128,0.0234375,Rare,172.0,Poor Drop,0.0210913549969343
Steel Battleaxe,Weapons And Armour,1.0,3/128,0.0234375,Rare,200.0,Poor Drop,0.0245248313917841
Mithril Spear,Weapons And Armour,1.0,2/128,0.015625,Rare,236.0,Poor Drop,0.0289393010423053
Adamant Full Helm,Weapons And Armour,1.0,1/128,0.0078125,Very rare,1778.0,Better Drop,0.2180257510729613
Mithril Kiteshield,Weapons And Armour,1.0,1/128,0.0078125,Very rare,1060.0,Better Drop,0.1299816063764561
Rune Dagger,Weapons And Armour,1.0,1/128,0.0078125,Very rare,4321.0,Pricey Drop,0.5298589822194972
Water Rune,Runes,75.0,8/128,0.0625,Uncommon,375.0,Mid Drop,0.1525010166734444
Nature Rune,Runes,15.0,5/128,0.0390625,Uncommon,1545.0,Better Drop,0.6283041886945913
Law Rune,Runes,3.0,3/128,0.0234375,Rare,354.0,Mid Drop,0.1439609597397316
Fire Rune,Runes,37.0,1/128,0.0078125,Very rare,185.0,Poor Drop,0.0752338348922326
Grimy Guam Leaf,Herbs,1.0,1/34.1,0.0293255131964809,Rare,326.0,Mid Drop,0.0154392611887283
Grimy Marrentill,Herbs,1.0,1/45.5,0.0219780219780219,Rare,258.0,Poor Drop,0.0122188017996684
Grimy Tarromin,Herbs,1.0,1/60.7,0.0164744645799011,Rare,286.0,Mid Drop,0.0135448733128107
Grimy Harralander,Herbs,1.0,1/78,0.0128205128205128,Rare,488.0,Mid Drop,0.0231115320861946
Grimy Ranarr Weed,Herbs,1.0,1/99.3,0.0100704934541792,Rare,6088.0,Pricey Drop,0.2883258347146578
Grimy Irit Leaf,Herbs,1.0,1/136.5,0.0073260073260073,Very rare,1896.0,Better Drop,0.0897939853184939
